data,close,rsi_force,rsi_oversold,rsi_overbought,rsi_above50,rsi_cross50,macd_force,macd_signal_force,macd_hist,macd_hist_dir,macd_cross,price_sma50_force,price_sma200_force,sma_trend_force,ema_short_force,golden_death_cross,ema_cross,bb_position,bb_vol_force,bb_above_upper,bb_below_lower,obv_trend_force,obv_cross,vol_force,vol_high,label
2021-10-20,28.5,0.068132,0.0,0.0,1.0,1.0,0.010358,0.010737,-0.000189,-1.0,-1.0,0.019116,0.035096,0.01599,0.008613,0.0,0.0,0.109199,0.027274,0.0,0.0,0.008173,0.0,-0.159245,0.0,-1
2021-10-21,27.45,-0.089966,0.0,0.0,0.0,-1.0,0.007861,0.010162,-0.00115,-1.0,0.0,0.000653,0.016424,0.015772,0.005308,0.0,0.0,-0.439355,-0.034636,0.0,0.0,0.00614,0.0,0.125807,0.0,-1
2021-10-22,27.18,-0.125798,0.0,0.0,0.0,0.0,0.005426,0.009214,-0.001894,-1.0,0.0,-0.003746,0.011645,0.015391,0.002292,0.0,0.0,-0.59557,-0.048259,0.0,0.0,0.002705,0.0,0.258343,0.0,-1
2021-10-25,29.04,0.128714,0.0,0.0,1.0,1.0,0.006041,0.00858,-0.00127,1.0,0.0,0.029364,0.044806,0.015463,0.00348,0.0,0.0,0.311757,-0.07583,0.0,0.0,0.001803,0.0,0.224009,0.0,-1
2021-10-26,28.76,0.088809,0.0,0.0,1.0,0.0,0.006062,0.008076,-0.001007,1.0,0.0,0.024738,0.040097,0.015374,0.003754,0.0,0.0,0.12508,-0.103121,0.0,0.0,0.000328,0.0,-0.187356,0.0,-1
2021-10-27,28.69,0.078543,0.0,0.0,1.0,0.0,0.005911,0.007643,-0.000866,1.0,0.0,0.023502,0.039097,0.015609,0.003752,0.0,0.0,0.040216,-0.148324,0.0,0.0,-0.001575,-1.0,-0.17219,0.0,-1
2021-10-28,28.96,0.113272,0.0,0.0,1.0,0.0,0.006098,0.007334,-0.000618,1.0,0.0,0.027479,0.043976,0.016517,0.00417,0.0,0.0,0.168946,-0.178617,0.0,0.0,-0.001828,0.0,0.037664,0.0,-1
2021-10-29,27.15,-0.124851,0.0,0.0,0.0,-1.0,0.003663,0.0066,-0.001468,-1.0,0.0,-0.004915,0.012084,0.016998,0.001081,0.0,0.0,-1.0,-0.172037,0.0,1.0,-0.004107,0.0,0.284435,0.0,0
2021-11-01,28.0,-0.015049,0.0,0.0,0.0,0.0,0.002892,0.005858,-0.001483,-1.0,0.0,0.010003,0.02774,0.017742,0.000377,0.0,0.0,-0.455972,-0.170429,0.0,0.0,-0.004441,0.0,0.064854,0.0,-1
2021-11-03,26.85,-0.137692,0.0,0.0,0.0,0.0,0.00063,0.004813,-0.002092,-1.0,0.0,-0.011057,0.006995,0.01805,-0.002291,0.0,-1.0,-1.0,-0.108649,0.0,1.0,-0.005775,0.0,-0.029444,0.0,0
2021-11-04,26.0,-0.215452,0.0,0.0,0.0,0.0,-0.002391,0.003372,-0.002882,-1.0,0.0,-0.026764,-0.008764,0.018004,-0.005829,0.0,0.0,-1.0,-0.02823,0.0,1.0,-0.008002,0.0,0.024653,0.0,0
2021-11-05,25.85,-0.228671,0.0,0.0,0.0,0.0,-0.00499,0.001699,-0.003345,-1.0,0.0,-0.029024,-0.011442,0.017588,-0.008629,0.0,0.0,-1.0,0.038541,0.0,1.0,-0.010829,0.0,-0.01127,0.0,0
2021-11-08,26.12,-0.18981,0.0,0.0,0.0,0.0,-0.006603,3.9e-05,-0.003321,1.0,0.0,-0.023245,-0.006063,0.017184,-0.010004,0.0,0.0,-0.821729,0.07515,0.0,0.0,-0.012066,0.0,-0.1926,0.0,1
2021-11-09,26.64,-0.116565,0.0,0.0,0.0,0.0,-0.007034,-0.001376,-0.002829,1.0,0.0,-0.013081,0.003987,0.017068,-0.009796,0.0,0.0,-0.553435,0.083067,0.0,0.0,-0.01186,0.0,-0.090936,0.0,1
2021-11-10,26.43,-0.139601,0.0,0.0,0.0,0.0,-0.007609,-0.002622,-0.002493,1.0,0.0,-0.016284,0.000199,0.016482,-0.009878,0.0,0.0,-0.574286,0.086695,0.0,0.0,-0.012523,0.0,-0.122528,0.0,1
2021-11-11,26.45,-0.136561,0.0,0.0,0.0,0.0,-0.007948,-0.003687,-0.00213,1.0,0.0,-0.015228,0.000681,0.015908,-0.009714,0.0,0.0,-0.515467,0.07528,0.0,0.0,-0.012033,0.0,-0.179532,0.0,1
2021-11-12,26.99,-0.05476,0.0,0.0,0.0,0.0,-0.007315,-0.004413,-0.001451,1.0,0.0,-0.00505,0.010795,0.015845,-0.008338,0.0,0.0,-0.261342,0.044749,0.0,0.0,-0.01031,0.0,-0.01153,0.0,1
2021-11-16,27.27,-0.014007,0.0,0.0,0.0,0.0,-0.006318,-0.004794,-0.000762,1.0,0.0,2.6e-05,0.015929,0.015903,-0.006632,0.0,0.0,-0.100939,0.004005,0.0,0.0,-0.008023,0.0,-0.178031,0.0,1
2021-11-17,26.58,-0.105705,0.0,0.0,0.0,0.0,-0.006495,-0.005134,-0.000681,1.0,0.0,-0.01278,0.003194,0.015974,-0.006632,0.0,0.0,-0.38095,-0.03407,0.0,0.0,-0.007324,0.0,-0.034926,0.0,1
2021-11-18,26.54,-0.110868,0.0,0.0,0.0,0.0,-0.006623,-0.005432,-0.000595,1.0,0.0,-0.01361,0.002556,0.016166,-0.006587,0.0,0.0,-0.363385,-0.03267,0.0,0.0,-0.007593,0.0,-0.144868,0.0,1
2021-11-19,26.1,-0.167777,0.0,0.0,0.0,0.0,-0.007312,-0.005808,-0.000752,-1.0,0.0,-0.021834,-0.005746,0.01609,-0.007304,0.0,0.0,-0.527616,-0.036535,0.0,0.0,-0.008914,0.0,-0.007355,0.0,1
2021-11-22,26.36,-0.122074,0.0,0.0,0.0,0.0,-0.007381,-0.006123,-0.000629,1.0,0.0,-0.01739,-0.00068,0.01671,-0.007172,0.0,0.0,-0.365573,-0.029184,0.0,0.0,-0.008998,0.0,-0.17923,0.0,1
2021-11-23,27.8,0.090283,0.0,0.0,1.0,1.0,-0.005181,-0.005934,0.000376,1.0,1.0,0.008361,0.02599,0.017633,-0.004087,0.0,0.0,0.328641,-0.023419,0.0,0.0,-0.007438,0.0,0.129393,0.0,1
2021-11-24,28.37,0.158197,0.0,0.0,1.0,0.0,-0.002566,-0.005261,0.001347,1.0,0.0,0.0174,0.036182,0.018794,-0.000693,0.0,0.0,0.658865,-0.048649,0.0,0.0,-0.005265,0.0,-0.108895,0.0,0
2021-11-25,29.62,0.284367,0.0,0.0,1.0,0.0,0.00131,-0.003946,0.002628,1.0,0.0,0.037707,0.057617,0.019954,0.00411,0.0,1.0,1.0,-0.006667,1.0,0.0,-0.002118,0.0,0.116853,0.0,0
2021-11-26,28.47,0.118302,0.0,0.0,1.0,0.0,0.00263,-0.002631,0.00263,1.0,0.0,0.016982,0.037899,0.02093,0.005286,0.0,0.0,0.645341,-0.014928,0.0,0.0,-0.001191,0.0,0.12404,0.0,0
2021-11-29,29.47,0.213529,0.0,0.0,1.0,0.0,0.005045,-0.001096,0.003071,1.0,0.0,0.033093,0.054993,0.021941,0.007871,0.0,0.0,1.0,0.006298,1.0,0.0,0.000682,1.0,0.000438,0.0,0
2021-11-30,29.43,0.207909,0.0,0.0,1.0,0.0,0.006794,0.000482,0.003156,1.0,0.0,0.03121,0.054138,0.022967,0.009481,0.0,0.0,0.903146,0.048795,0.0,0.0,0.000347,0.0,0.217251,0.0,0
2021-12-01,29.6,0.224349,0.0,0.0,1.0,0.0,0.008302,0.002046,0.003128,-1.0,0.0,0.032402,0.056839,0.024482,0.010747,0.0,0.0,0.870971,0.083153,0.0,0.0,0.001916,0.0,0.228406,0.0,0
